%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_num,field.zone_letter
1580418205883259369,1,1580418205882725000,,42.338735,-71.0922633333,13.7,327642.111709,4689506.72875,19,T
1580418208893642211,2,1580418208892991065,,42.338735,-71.0922633333,13.7,327642.111709,4689506.72875,19,T
1580418210398685012,3,1580418210398118972,,42.3387416667,-71.0922683333,13.6,327641.718014,4689507.47917,19,T
1580418211903902512,4,1580418211903209924,,42.3387483333,-71.09227,13.3,327641.598925,4689508.22283,19,T
1580418213410868523,5,1580418213410309076,,42.338755,-71.0922666667,13.3,327641.891747,4689508.95635,19,T
1580418214917068881,6,1580418214916394948,,42.3387666667,-71.0922583333,13.3,327642.610141,4689510.23496,19,T
1580418217929433055,7,1580418217928776979,,42.33878,-71.09225,13.3,327643.333089,4689511.69863,19,T
1580418219435075830,8,1580418219434458971,,42.3387916667,-71.0922433333,13.2,327643.914179,4689512.98061,19,T
1580418220941575072,9,1580418220940458059,,42.338805,-71.092235,13.0,327644.637126,4689514.44429,19,T
1580418222445667293,10,1580418222445209026,,42.338815,-71.0922266667,12.7,327645.350965,4689515.53782,19,T
1580418223950252206,11,1580418223949815988,,42.3388233333,-71.0922183333,12.4,327646.06025,4689516.44628,19,T
1580418226960301258,12,1580418226959561109,,42.3388316667,-71.0922083333,11.9,327646.906839,4689517.35136,19,T
1580418228464522042,13,1580418228464005947,,42.3388383333,-71.0921933333,11.6,327648.160783,4689518.06124,19,T
1580418229970692121,14,1580418229970154047,,42.3388433333,-71.0921766667,11.5,327649.547477,4689518.58267,19,T
1580418231475841660,15,1580418231475341081,,42.3388516667,-71.0921583333,11.3,327651.080582,4689519.47086,19,T
1580418232982655457,16,1580418232982026100,,42.33886,-71.0921433333,11.2,327652.339079,4689520.36581,19,T
1580418235993545658,17,1580418235992971897,,42.3388666667,-71.0921266667,11.3,327653.730326,4689521.07231,19,T
1580418237499073253,18,1580418237498536109,,42.3388716667,-71.09211,11.5,327655.117019,4689521.59374,19,T
1580418239003647111,19,1580418239003159999,,42.3388733333,-71.0920933333,11.4,327656.494605,4689521.74503,19,T
1580418240509970592,20,1580418240509300947,,42.3388783333,-71.0920766667,11.2,327657.881298,4689522.26646,19,T
1580418242016991296,21,1580418242016361951,,42.3388883333,-71.0920616667,10.6,327659.144347,4689523.34648,19,T
1580418245028263529,22,1580418245027596950,,42.3389066667,-71.0920483333,9.5,327660.292859,4689525.35524,19,T
1580418246532576222,23,1580418246532016038,,42.33892,-71.0920316667,8.7,327661.702317,4689526.80202,19,T
1580418248038156249,24,1580418248037594079,,42.3389283333,-71.0920166667,8.3,327662.960812,4689527.69697,19,T
1580418249544830411,25,1580418249544249057,,42.338935,-71.092,8.1,327664.352056,4689528.40348,19,T
