%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_num,field.zone_letter
1580353766097953294,1,1580353766097239017,,42.3385766667,-71.08802,75.0,327991.254795,4689480.55428,19,T
1580353769106942403,2,1580353769106445074,,42.3385766667,-71.08802,75.0,327991.254795,4689480.55428,19,T
1580353770611924778,3,1580353770611367940,,42.3385766667,-71.08802,75.0,327991.254795,4689480.55428,19,T
1580353772115507349,4,1580353772114860057,,42.338575,-71.0880216667,75.3,327991.112946,4689480.37258,19,T
1580353773620243320,5,1580353773619435071,,42.338575,-71.0880216667,75.2,327991.112946,4689480.37258,19,T
1580353775126426711,6,1580353775125674009,,42.3385716667,-71.08802,74.5,327991.241161,4689479.99906,19,T
1580353778136616722,7,1580353778135833978,,42.3385666667,-71.0880166667,73.9,327991.502136,4689479.43711,19,T
1580353779640506043,8,1580353779639905929,,42.3385666667,-71.0880166667,73.8,327991.502136,4689479.43711,19,T
1580353781145598729,9,1580353781144990921,,42.338565,-71.0880133333,73.1,327991.772199,4689479.2453,19,T
1580353782650823942,10,1580353782650278091,,42.3385633333,-71.08801,72.3,327992.042262,4689479.05348,19,T
1580353784157017833,11,1580353784156613111,,42.3385633333,-71.08801,72.2,327992.042262,4689479.05348,19,T
1580353787168112842,12,1580353787167350053,,42.3385633333,-71.08801,72.2,327992.042262,4689479.05348,19,T
1580353788672506365,13,1580353788672065973,,42.3385633333,-71.08801,72.2,327992.042262,4689479.05348,19,T
1580353790177022139,14,1580353790176448106,,42.3385633333,-71.08801,72.2,327992.042262,4689479.05348,19,T
1580353791680989851,15,1580353791680516958,,42.3385633333,-71.08801,72.2,327992.042262,4689479.05348,19,T
1580353793186677103,16,1580353793186167001,,42.3385633333,-71.08801,72.3,327992.042262,4689479.05348,19,T
1580353796197960160,17,1580353796197393894,,42.3385633333,-71.08801,72.3,327992.042262,4689479.05348,19,T
1580353797705306053,18,1580353797704653024,,42.33856,-71.0880116667,73.1,327991.895869,4689478.68671,19,T
1580353799210561412,19,1580353799209974050,,42.33856,-71.0880116667,73.1,327991.895869,4689478.68671,19,T
1580353800715269039,20,1580353800714786052,,42.33856,-71.0880116667,73.1,327991.895869,4689478.68671,19,T
1580353802219278616,21,1580353802218822002,,42.33855,-71.0880116667,72.8,327991.868602,4689477.57629,19,T
1580353805228711988,22,1580353805228184938,,42.33855,-71.0880116667,72.8,327991.868602,4689477.57629,19,T
1580353806734770284,23,1580353806734178066,,42.3385466667,-71.0880133333,73.4,327991.722209,4689477.20952,19,T
1580353808240134921,24,1580353808239577054,,42.3385483333,-71.0880133333,73.9,327991.726754,4689477.39459,19,T
1580353809745099057,25,1580353809744626998,,42.33855,-71.0880116667,73.9,327991.868602,4689477.57629,19,T
1580353811250076383,26,1580353811249624967,,42.3385466667,-71.08801,74.5,327991.996817,4689477.20277,19,T
1580353814260463322,27,1580353814259913921,,42.3385466667,-71.0880116667,74.5,327991.859513,4689477.20615,19,T
1580353815764846437,28,1580353815764463901,,42.3385466667,-71.0880116667,74.5,327991.859513,4689477.20615,19,T
1580353817270965515,29,1580353817270356893,,42.3385466667,-71.0880116667,74.5,327991.859513,4689477.20615,19,T
1580353818777222602,30,1580353818776482105,,42.3385466667,-71.0880116667,74.5,327991.859513,4689477.20615,19,T
1580353820283691192,31,1580353820282876968,,42.3385466667,-71.0880116667,74.5,327991.859513,4689477.20615,19,T
1580353823293181338,32,1580353823292499065,,42.3385466667,-71.0880116667,74.5,327991.859513,4689477.20615,19,T
1580353824798120013,33,1580353824797527074,,42.3385466667,-71.0880116667,74.5,327991.859513,4689477.20615,19,T
