%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_num,field.zone_letter
1580339269158539635,1,1580339269158093929,,42.3387866667,-71.092425,21.1,327628.934442,4689512.79366,19,T
1580339270662407037,2,1580339270661915063,,42.3387866667,-71.092425,21.1,327628.934442,4689512.79366,19,T
1580339272167114162,3,1580339272166486024,,42.3387866667,-71.092425,21.1,327628.934442,4689512.79366,19,T
1580339273671747771,4,1580339273671260118,,42.3387866667,-71.092425,21.1,327628.934442,4689512.79366,19,T
1580339276679860779,5,1580339276679287910,,42.3387916667,-71.09242,20.8,327629.360015,4689513.33874,19,T
1580339278183846590,6,1580339278183382034,,42.3387966667,-71.0924116667,20.6,327630.060194,4689513.87706,19,T
1580339279687632388,7,1580339279687226057,,42.338805,-71.0924033333,20.4,327630.769482,4689514.78552,19,T
1580339281192000394,8,1580339281191476106,,42.338815,-71.092395,20.2,327631.483323,4689515.87905,19,T
1580339282696855654,9,1580339282696316003,,42.3388266667,-71.0923866667,20.3,327632.201718,4689517.15765,19,T
1580339285707259045,10,1580339285706456899,,42.3388416667,-71.0923783333,20.5,327632.929221,4689518.80639,19,T
1580339287212132725,11,1580339287211385965,,42.3388533333,-71.0923666667,20.8,327633.922223,4689520.07824,19,T
1580339288719246692,12,1580339288718563079,,42.3388616667,-71.0923533333,21.3,327635.043419,4689520.97656,19,T
1580339290223422687,13,1580339290222819089,,42.3388683333,-71.0923383333,21.5,327636.297364,4689521.68644,19,T
1580339291727468577,14,1580339291727055072,,42.338875,-71.0923216667,21.8,327637.688613,4689522.39294,19,T
1580339294736349375,15,1580339294735862970,,42.3388833333,-71.0923083333,21.9,327638.809808,4689523.29126,19,T
1580339296241231712,16,1580339296240777015,,42.3388933333,-71.092295,22.1,327639.935557,4689524.37466,19,T
1580339297746594518,17,1580339297746172904,,42.338905,-71.092285,22.4,327640.791253,4689525.64988,19,T
1580339299252116393,18,1580339299251333951,,42.3389166667,-71.0922733333,22.6,327641.784252,4689526.92173,19,T
1580339300757577950,19,1580339300756983041,,42.3389283333,-71.0922566667,22.8,327643.18916,4689528.18344,19,T
1580339303767601834,20,1580339303766973018,,42.3389416667,-71.09224,23.5,327644.598622,4689529.63022,19,T
1580339305271747543,21,1580339305271116018,,42.3389533333,-71.092225,23.9,327645.866225,4689530.89531,19,T
1580339306776566698,22,1580339306776109933,,42.3389683333,-71.09221,24.4,327647.142936,4689532.53054,19,T
