%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_num,field.zone_letter
1580325882155516231,1,1580325882154877901,,42.338735,-71.0880066667,20.6,327992.784952,4689498.10902,19,T
1580325883662016070,2,1580325883661400079,,42.3387433333,-71.088,20.5,327993.356889,4689499.02088,19,T
1580325885164929421,3,1580325885164093017,,42.33875,-71.088,20.6,327993.375067,4689499.76117,19,T
1580325886669703024,4,1580325886669235944,,42.3387566667,-71.088,20.5,327993.393245,4689500.50145,19,T
1580325889678456809,5,1580325889677871942,,42.3387566667,-71.088,20.3,327993.393245,4689500.50145,19,T
1580325891186015976,6,1580325891185466051,,42.3387566667,-71.0880033333,20.2,327993.118638,4689500.50819,19,T
1580325892693749466,7,1580325892693105936,,42.3387583333,-71.0880133333,20.0,327992.299361,4689500.71349,19,T
1580325894198758029,8,1580325894198335886,,42.3387583333,-71.0880216667,20.0,327991.612844,4689500.73035,19,T
1580325895704164976,9,1580325895703716039,,42.3387583333,-71.0880283333,20.1,327991.06363,4689500.74384,19,T
1580325899153440094,10,1580325899152890920,,42.3387616667,-71.0880266667,19.7,327991.210023,4689501.11061,19,T
1580325900657698840,11,1580325900657120943,,42.3387666667,-71.0880233333,19.6,327991.498263,4689501.65907,19,T
1580325902161972666,12,1580325902161370992,,42.33877,-71.0880183333,19.5,327991.919263,4689502.0191,19,T
1580325903665875955,13,1580325903665442943,,42.338775,-71.088015,19.6,327992.207503,4689502.56757,19,T
1580325905169738191,14,1580325905169018030,,42.3387766667,-71.0880166667,19.5,327992.074744,4689502.75601,19,T
1580325908179543516,15,1580325908178970098,,42.3387766667,-71.0880216667,19.5,327991.662834,4689502.76613,19,T
1580325909684637252,16,1580325909684211015,,42.3387766667,-71.0880233333,19.6,327991.525531,4689502.7695,19,T
1580325911188915559,17,1580325911188524961,,42.338775,-71.0880233333,19.7,327991.520986,4689502.58443,19,T
1580325912692646745,18,1580325912692132949,,42.338775,-71.0880183333,20.0,327991.932896,4689502.57431,19,T
1580325914196704580,19,1580325914196185111,,42.3387766667,-71.0880183333,20.3,327991.937441,4689502.75938,19,T
1580325917203975641,20,1580325917203505039,,42.3387766667,-71.0880183333,20.2,327991.937441,4689502.75938,19,T
1580325918709037353,21,1580325918708292007,,42.338775,-71.0880233333,20.3,327991.520986,4689502.58443,19,T
1580325920213074493,22,1580325920212495088,,42.3387733333,-71.0880266667,20.3,327991.241835,4689502.4061,19,T
1580325921718642451,23,1580325921717979907,,42.3387716667,-71.0880316667,20.4,327990.82538,4689502.23114,19,T
1580325923224410360,24,1580325923223750114,,42.3387733333,-71.0880316667,20.5,327990.829924,4689502.41622,19,T
1580325926239356788,25,1580325926238784074,,42.338775,-71.0880283333,20.6,327991.109076,4689502.59454,19,T
1580325927744714469,26,1580325927744278907,,42.3387766667,-71.088025,20.8,327991.388227,4689502.77287,19,T
1580325929249541163,27,1580325929249089956,,42.33878,-71.0880216667,20.9,327991.671923,4689503.13627,19,T
1580325930754996456,28,1580325930754379987,,42.3387816667,-71.0880233333,21.0,327991.539164,4689503.32471,19,T
